p_entry_type,p_rsi_thresh,p_tranche2_drop,p_target1,p_target2,p_stop_pct,p_entry_hour_cut,p_max_sessions,total_return_pct,annualized_return_pct,sharpe_ratio,max_drawdown_pct,num_trades,win_rate_pct,avg_win_usd,avg_loss_usd,n_entries,pct_entered
vwap_reclaim,30,0.02,0.05,0.12,0.15,16,1,0.55,0.11,0.05,-16.67,221,61.09,63.72,-99.38,221,89.8
vwap_reclaim,30,0.02,0.05,0.12,0.15,16,2,-9.13,-1.83,-0.066,-33.87,244,62.7,105.66,-187.67,244,99.2
vwap_reclaim,30,0.02,0.05,0.12,0.15,16,3,13.66,2.5,0.231,-41.59,246,63.41,147.94,-241.25,246,100.0
vwap_reclaim,30,0.02,0.05,0.15,0.1,12,1,-0.56,-0.11,0.019,-17.15,203,61.08,65.6,-103.68,203,82.5
vwap_reclaim,30,0.02,0.05,0.15,0.1,12,2,-11.94,-2.43,-0.111,-33.15,238,63.03,103.36,-189.75,238,96.7
vwap_reclaim,30,0.02,0.05,0.15,0.1,12,3,-1.21,-0.23,0.08,-40.85,243,62.96,144.32,-246.68,243,98.8
vwap_reclaim,30,0.02,0.05,0.15,0.1,14,1,1.9,0.36,0.088,-16.63,214,61.68,64.65,-101.75,214,87.0
vwap_reclaim,30,0.02,0.05,0.15,0.1,14,2,-9.48,-1.91,-0.071,-31.73,243,62.96,104.64,-188.43,243,98.8
vwap_reclaim,30,0.02,0.05,0.15,0.1,14,3,5.14,0.97,0.146,-39.7,246,63.41,146.48,-248.19,246,100.0
vwap_reclaim,30,0.02,0.05,0.15,0.1,16,1,1.23,0.24,0.069,-16.67,221,61.09,63.72,-98.58,221,89.8
vwap_reclaim,30,0.02,0.05,0.15,0.1,16,2,-9.82,-1.98,-0.079,-33.21,244,62.7,105.72,-188.54,244,99.2
vwap_reclaim,30,0.02,0.05,0.15,0.1,16,3,6.77,1.27,0.162,-38.57,246,63.41,148.37,-249.65,246,100.0
vwap_reclaim,30,0.02,0.05,0.15,0.12,12,1,-1.25,-0.24,0.0,-17.15,203,61.08,65.6,-104.55,203,82.5
vwap_reclaim,30,0.02,0.05,0.15,0.12,12,2,-9.85,-1.98,-0.082,-31.39,238,63.03,103.36,-187.37,238,96.7
