p_max_pos_pct,p_n_tranches,p_dip_entry,p_tranche_gap,p_high_lb,p_profit_tgt,p_stop_loss,p_vix_thresh,p_spy_bull,total_return_pct,annualized_return_pct,sharpe_ratio,max_drawdown_pct,num_trades,win_rate_pct,avg_win_usd,avg_loss_usd
0.5,1,0.05,0.03,10,0.08,0.2,25.0,False,137.28,5.1,0.518,-27.24,127,63.78,456.59,-505.58
0.5,1,0.05,0.03,10,0.08,0.2,28.0,True,146.25,5.33,0.648,-14.3,112,66.96,460.27,-537.71
0.5,1,0.05,0.03,10,0.08,0.2,28.0,False,138.52,5.13,0.576,-23.4,132,65.91,467.13,-595.29
0.5,1,0.05,0.03,10,0.08,0.2,32.0,True,166.75,5.81,0.697,-18.24,112,68.75,458.72,-532.73
0.5,1,0.05,0.03,10,0.08,0.2,32.0,False,139.52,5.16,0.498,-30.24,151,66.23,471.15,-650.26
0.5,1,0.05,0.03,10,0.08,0.2,,True,173.17,5.96,0.7,-19.33,104,72.12,458.38,-588.3
0.5,1,0.05,0.03,10,0.08,0.2,,False,314.19,8.53,0.677,-27.93,170,80.59,518.27,-1199.53
0.5,1,0.05,0.03,10,0.12,0.12,25.0,True,177.19,6.05,0.721,-16.0,101,55.45,647.14,-411.58
0.5,1,0.05,0.03,10,0.12,0.12,25.0,False,143.73,5.26,0.555,-19.19,123,52.03,638.4,-448.89
0.5,1,0.05,0.03,10,0.12,0.12,28.0,True,197.71,6.48,0.83,-13.5,104,59.62,659.86,-503.35
0.5,1,0.05,0.03,10,0.12,0.12,28.0,False,178.12,6.07,0.704,-20.1,134,55.97,668.37,-547.72
0.5,1,0.05,0.03,10,0.12,0.12,32.0,True,205.51,6.64,0.83,-17.19,107,59.81,663.07,-508.98
0.5,1,0.05,0.03,10,0.12,0.12,32.0,False,172.59,5.94,0.587,-27.56,158,54.43,668.46,-558.73
0.5,1,0.05,0.03,10,0.12,0.12,,True,218.89,6.91,0.826,-19.62,107,61.68,671.82,-547.6
0.5,1,0.05,0.03,10,0.12,0.12,,False,298.33,8.28,0.594,-39.15,188,63.3,711.25,-794.29
0.5,1,0.05,0.03,10,0.12,0.15,25.0,True,175.06,6.0,0.707,-17.72,97,56.7,645.05,-427.9
0.5,1,0.05,0.03,10,0.12,0.15,25.0,False,154.17,5.52,0.574,-19.19,116,54.31,638.54,-468.14
0.5,1,0.05,0.03,10,0.12,0.15,28.0,True,194.92,6.43,0.815,-13.58,100,61.0,658.2,-529.69
0.5,1,0.05,0.03,10,0.12,0.15,28.0,False,184.89,6.21,0.718,-19.69,125,58.4,663.73,-576.21
0.5,1,0.05,0.03,10,0.12,0.15,32.0,True,194.09,6.41,0.769,-17.7,98,61.22,657.91,-528.06
0.5,1,0.05,0.03,10,0.12,0.15,32.0,False,178.83,6.08,0.584,-30.54,141,58.16,659.96,-614.13
0.5,1,0.05,0.03,10,0.12,0.15,,True,220.95,6.95,0.828,-18.17,97,64.95,665.29,-582.89
0.5,1,0.05,0.03,10,0.12,0.15,,False,302.1,8.34,0.588,-40.02,161,68.32,717.35,-954.88
0.5,1,0.05,0.03,10,0.12,0.2,25.0,True,168.23,5.85,0.689,-17.51,93,56.99,641.29,-429.13
0.5,1,0.05,0.03,10,0.12,0.2,25.0,False,140.05,5.17,0.538,-19.19,105,55.24,629.45,-478.79
0.5,1,0.05,0.03,10,0.12,0.2,28.0,True,193.57,6.4,0.833,-12.83,96,61.46,656.11,-523.08
0.5,1,0.05,0.03,10,0.12,0.2,28.0,False,195.56,6.44,0.767,-18.14,113,61.06,659.9,-590.39
0.5,1,0.05,0.03,10,0.12,0.2,32.0,True,195.06,6.43,0.793,-16.76,92,61.96,657.42,-513.34
0.5,1,0.05,0.03,10,0.12,0.2,32.0,False,187.18,6.26,0.617,-28.97,126,60.32,664.88,-636.27
0.5,1,0.05,0.03,10,0.12,0.2,,True,220.78,6.94,0.852,-17.54,87,66.67,662.26,-563.2
0.5,1,0.05,0.03,10,0.12,0.2,,False,329.7,8.76,0.632,-38.29,134,75.37,718.58,-1200.19
0.5,1,0.05,0.03,10,0.15,0.12,25.0,True,181.63,6.14,0.722,-14.37,89,50.56,796.62,-401.93
0.5,1,0.05,0.03,10,0.15,0.12,25.0,False,150.64,5.43,0.579,-16.77,110,48.18,767.72,-449.57
0.5,1,0.05,0.03,10,0.15,0.12,28.0,True,217.32,6.88,0.868,-12.82,93,55.91,804.98,-490.91
0.5,1,0.05,0.03,10,0.15,0.12,28.0,False,206.99,6.67,0.788,-21.63,121,52.89,801.16,-536.41
0.5,1,0.05,0.03,10,0.15,0.12,32.0,True,227.44,7.07,0.871,-16.23,94,56.38,809.75,-492.02
0.5,1,0.05,0.03,10,0.15,0.12,32.0,False,219.14,6.91,0.703,-27.37,143,52.45,794.38,-553.89
0.5,1,0.05,0.03,10,0.15,0.12,,True,229.24,7.1,0.825,-19.14,93,58.06,809.9,-533.61
0.5,1,0.05,0.03,10,0.15,0.12,,False,324.34,8.68,0.636,-33.52,160,60.62,851.45,-796.13
0.5,1,0.05,0.03,10,0.15,0.15,25.0,True,178.87,6.08,0.706,-15.79,86,51.16,795.7,-407.72
0.5,1,0.05,0.03,10,0.15,0.15,25.0,False,160.11,5.66,0.593,-18.04,105,49.52,768.59,-451.99
0.5,1,0.05,0.03,10,0.15,0.15,28.0,True,216.47,6.86,0.865,-12.93,89,57.3,804.94,-510.66
0.5,1,0.05,0.03,10,0.15,0.15,28.0,False,201.6,6.56,0.775,-21.58,107,55.14,804.07,-568.35
0.5,1,0.05,0.03,10,0.15,0.15,32.0,True,224.64,7.02,0.86,-16.36,90,57.78,811.88,-519.84
0.5,1,0.05,0.03,10,0.15,0.15,32.0,False,220.77,6.94,0.706,-27.17,129,55.04,797.26,-595.32
0.5,1,0.05,0.03,10,0.15,0.15,,True,241.8,7.33,0.88,-16.9,86,61.63,813.36,-573.57
0.5,1,0.05,0.03,10,0.15,0.15,,False,323.19,8.66,0.62,-39.04,141,65.25,855.35,-946.39
0.5,1,0.05,0.03,10,0.15,0.2,25.0,True,179.4,6.1,0.709,-15.59,85,51.76,795.7,-416.36
0.5,1,0.05,0.03,10,0.15,0.2,25.0,False,151.21,5.45,0.57,-18.04,97,50.52,765.73,-466.66
0.5,1,0.05,0.03,10,0.15,0.2,28.0,True,222.84,6.98,0.906,-12.15,88,57.95,806.63,-509.57
0.5,1,0.05,0.03,10,0.15,0.2,28.0,False,201.97,6.57,0.792,-21.44,101,56.44,804.41,-583.04
0.5,1,0.05,0.03,10,0.15,0.2,32.0,True,229.71,7.11,0.894,-15.44,85,58.82,813.17,-505.36
0.5,1,0.05,0.03,10,0.15,0.2,32.0,False,215.63,6.84,0.711,-25.74,115,57.39,800.3,-637.89
0.5,1,0.05,0.03,10,0.15,0.2,,True,230.79,7.13,0.88,-16.7,77,62.34,815.26,-553.57
0.5,1,0.05,0.03,10,0.15,0.2,,False,331.3,8.78,0.641,-37.37,115,72.17,862.21,-1201.05
0.5,1,0.05,0.03,10,0.2,0.12,25.0,True,180.66,6.12,0.675,-17.66,75,48.0,936.17,-400.91
0.5,1,0.05,0.03,10,0.2,0.12,25.0,False,173.44,5.96,0.609,-17.6,95,45.26,944.83,-447.77
0.5,1,0.05,0.03,10,0.2,0.12,28.0,True,201.18,6.56,0.781,-12.92,78,50.0,979.63,-463.78
0.5,1,0.05,0.03,10,0.2,0.12,28.0,False,188.47,6.29,0.69,-21.25,101,45.54,1017.03,-507.94
0.5,1,0.05,0.03,10,0.2,0.12,32.0,True,204.76,6.63,0.763,-17.1,77,49.35,1019.23,-468.08
0.5,1,0.05,0.03,10,0.2,0.12,32.0,False,180.03,6.11,0.571,-26.44,117,44.44,1023.22,-541.6
0.5,1,0.05,0.03,10,0.2,0.12,,True,215.71,6.84,0.749,-19.96,76,51.32,1037.98,-511.09
0.5,1,0.05,0.03,10,0.2,0.12,,False,288.3,8.13,0.583,-34.56,123,55.28,1080.1,-811.22
0.5,1,0.05,0.03,10,0.2,0.15,25.0,True,175.84,6.02,0.651,-19.71,71,49.3,932.99,-418.62
0.5,1,0.05,0.03,10,0.2,0.15,25.0,False,169.23,5.87,0.588,-18.31,91,46.15,936.7,-457.51
0.5,1,0.05,0.03,10,0.2,0.15,28.0,True,195.22,6.43,0.751,-14.17,73,52.05,974.98,-500.78
0.5,1,0.05,0.03,10,0.2,0.15,28.0,False,194.75,6.42,0.696,-20.87,93,48.39,1010.89,-541.98
0.5,1,0.05,0.03,10,0.2,0.15,32.0,True,194.98,6.43,0.726,-17.38,72,51.39,1010.05,-510.68
0.5,1,0.05,0.03,10,0.2,0.15,32.0,False,187.04,6.26,0.577,-28.46,105,46.67,1041.2,-577.06
0.5,1,0.05,0.03,10,0.2,0.15,,True,207.64,6.69,0.738,-19.27,68,54.41,1024.12,-552.51
0.5,1,0.05,0.03,10,0.2,0.15,,False,300.59,8.32,0.583,-40.26,108,60.19,1086.12,-942.77
0.5,1,0.05,0.03,10,0.2,0.2,25.0,True,175.84,6.02,0.651,-19.71,71,49.3,932.99,-418.62
0.5,1,0.05,0.03,10,0.2,0.2,25.0,False,174.1,5.98,0.594,-18.31,84,47.62,930.81,-450.5
0.5,1,0.05,0.03,10,0.2,0.2,28.0,True,202.3,6.58,0.79,-13.4,70,52.86,978.2,-483.74
0.5,1,0.05,0.03,10,0.2,0.2,28.0,False,204.62,6.62,0.734,-20.67,83,50.6,1014.8,-540.47
0.5,1,0.05,0.03,10,0.2,0.2,32.0,True,199.63,6.52,0.757,-16.41,67,52.24,1014.59,-485.86
0.5,1,0.05,0.03,10,0.2,0.2,32.0,False,194.12,6.41,0.605,-26.24,93,49.46,1032.04,-597.05
0.5,1,0.05,0.03,10,0.2,0.2,,True,220.61,6.94,0.801,-17.52,61,57.38,1027.84,-535.13
0.5,1,0.05,0.03,10,0.2,0.2,,False,337.03,8.86,0.633,-38.52,93,67.74,1088.03,-1161.42
0.5,1,0.05,0.03,20,0.08,0.12,25.0,True,120.75,4.67,0.542,-18.89,123,59.35,451.23,-417.3
0.5,1,0.05,0.03,20,0.08,0.12,25.0,False,137.46,5.11,0.538,-20.26,161,59.63,457.09,-463.6
0.5,1,0.05,0.03,20,0.08,0.12,28.0,True,126.12,4.81,0.559,-17.98,130,62.31,448.01,-483.2
0.5,1,0.05,0.03,20,0.08,0.12,28.0,False,141.35,5.2,0.557,-24.14,169,62.72,465.63,-559.07
0.5,1,0.05,0.03,20,0.08,0.12,32.0,True,143.75,5.26,0.608,-20.96,137,62.04,459.1,-474.0
0.5,1,0.05,0.03,20,0.08,0.12,32.0,False,140.35,5.18,0.486,-35.1,202,60.4,476.49,-551.21
0.5,1,0.05,0.03,20,0.08,0.12,,True,152.78,5.49,0.611,-22.87,139,64.03,461.59,-516.08
0.5,1,0.05,0.03,20,0.08,0.12,,False,285.8,8.09,0.585,-38.72,252,68.25,528.45,-778.92
0.5,1,0.05,0.03,20,0.08,0.15,25.0,True,122.37,4.71,0.547,-18.17,119,60.5,451.34,-431.04
0.5,1,0.05,0.03,20,0.08,0.15,25.0,False,134.93,5.04,0.534,-19.54,153,60.78,450.73,-473.75
0.5,1,0.05,0.03,20,0.08,0.15,28.0,True,128.53,4.87,0.568,-17.16,125,64.0,449.31,-513.16
0.5,1,0.05,0.03,20,0.08,0.15,28.0,False,143.7,5.26,0.567,-23.31,160,65.62,460.55,-617.96
0.5,1,0.05,0.03,20,0.08,0.15,32.0,True,141.1,5.2,0.588,-22.97,127,63.78,461.28,-505.52
0.5,1,0.05,0.03,20,0.08,0.15,32.0,False,140.58,5.19,0.48,-35.79,189,62.96,472.52,-602.45
0.5,1,0.05,0.03,20,0.08,0.15,,True,153.34,5.5,0.612,-23.66,123,66.67,464.11,-554.23
0.5,1,0.05,0.03,20,0.08,0.15,,False,293.94,8.22,0.596,-37.88,218,73.39,525.43,-942.65
0.5,1,0.05,0.03,20,0.08,0.2,25.0,True,122.73,4.72,0.55,-17.95,115,60.87,451.74,-429.97
0.5,1,0.05,0.03,20,0.08,0.2,25.0,False,134.89,5.04,0.53,-19.32,139,62.59,450.64,-494.55
0.5,1,0.05,0.03,20,0.08,0.2,28.0,True,133.24,5.0,0.593,-16.65,121,64.46,449.73,-505.94
0.5,1,0.05,0.03,20,0.08,0.2,28.0,False,145.79,5.32,0.582,-22.28,141,67.38,459.86,-632.77
0.5,1,0.05,0.03,20,0.08,0.2,32.0,True,148.7,5.39,0.62,-22.2,124,64.52,460.16,-498.71
0.5,1,0.05,0.03,20,0.08,0.2,32.0,False,147.81,5.36,0.505,-34.4,164,65.85,473.68,-649.58
